Join_Count,TARGET_FID,DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Local_Auth,x,y,geo_area,EU_zone_ag,NO2_2016,NO2_2020,NO2_change,FID_1,DataZone_1,LAName_1,SAPE2014,WASAPE2014,Rank,Quintile,Decile,Vigintile,Percentile,IncRate_1,IncNumDep_1,IncRank,EmpRate_1,EmpNumDep_1,EmpRank_1,HlthCIF_1,HlthAlcSR_1,HlthDrugSR_1,HlthSMR_1,HlthDprsPc_1,HlthLBWTPc_1,HlthEmrgSR,HlthRank_1,EduAttend_1,EduAttain_1,EduNoQuals_1,EduNEET,EduHESA,EduRank_1,GAccPetrol_1,GAccDTGP_1,GAccDTPost_1,GAccDTPsch_1,GAccDTRet_1,GAccDTSsch_1,GAccPTGP_1,GAccPTPost_1,GAccPTRet_1,GAccRank_1,CrimeCount_1,CrimeRate_1,CrimeRank_1,HouseNumOC_1,HouseNumNC_1,HouseOCrat_1,HouseNCrat_1,HouseRank_1,Shape_Leng_1,Shape_Area_1,Shape_Length,Shape_Area,GS_Ratio,VDL_Ratio,OBJECTID,DataZone_12,FREQUENCY,SUM_GreenArea,GreenRatio,VDL_Ratio16,VDL_Ratio20,VDL_Change,vdl_2016_summary_Rowid,vdl_2016_summary_OBJECTID,vdl_2016_summary_GLA_MAST_2,vdl_2016_summary_FREQUENCY,vdl_2016_summary_SUM_VDL_AREA,vdl_2020_summary_Rowid,vdl_2020_summary_OBJECTID,vdl_2020_summary_GLA_MAST_2,vdl_2020_summary_FREQUENCY,vdl_2020_summary_SUM_VDL_AREA
1,1,S01009759,Darnley East - 02,Glasgow City,860,570,161,1,1,1,3,45%,387,23.000000000000000,27%,153,168.000000000000000,240,281,236,167,26%,7%,142,255,75%,5.380000000000000,202,9%,9%,1291,3.580000000000000,1.550000000000000,1.740000000000000,2.310000000000000,5.920000000000000,2.960000000000000,4.640000000000000,5.090000000000000,6.610000000000000,0%,6001,48,561,791.000000000000000,223,29,24%,3%,494.000000000000000,2170.701472090000152,373,254500,660500,1,24,11.164154999999999,9.103916000000000,-2.060200000000000,1,S01009759,Glasgow City,905.000000000000000,607.000000000000000,237.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,0.380000000000000,340.000000000000000,129.000000000000000,0.270000000000000,160.000000000000000,376.000000000000000,195.000000000000000,339.280859416999988,254.423093818000012,138.000000000000000,0.237569060773000,0.111111111111000,146.705549507000001,453.000000000000000,0.757225433500000,3.947368420000000,201.875952235999989,0.260000000000000,0.036649210000000,196.000000000000000,3.476955168630000,1.484710953270000,1.674148838850000,1.380594604520000,3.151175616970000,6.362079961110000,4.749788561270000,4.963137029260000,6.659946368010000,5717.000000000000000,44.066365007500004,486.921160304000011,1213.000000000000000,223.000000000000000,29.000000000000000,0.240560949299000,0.031283710895400,494.000000000000000,2170.701472090000152,136091.515542000008281,2170.701472093852772,136091.515542000008281,0.031872791672266,0.269438672406000,2,S01009759,18,25032.826833878632897,0.031872785179276,0.285272671805308,0.226833431340347,-0.058439240464962,1,0,S01009759,1,38823.190248699997028,1,0,S01009759,1,30870.105446699999447
1,2,S01009760,Darnley East - 03,Glasgow City,852,550,998,1,2,3,15,23%,194,1083.000000000000000,18%,96,971.000000000000000,195,80,120,142,27%,5%,119,881,74%,4.820000000000000,205,9%,7%,715,2.470000000000000,1.820000000000000,1.790000000000000,2.940000000000000,5.060000000000000,3.060000000000000,6.410000000000000,6.120000000000000,7.520000000000000,0%,5706,27,318,2079.000000000000000,173,8,19%,1%,1157.000000000000000,3057.747139109999807,373,254500,659500,1,24,13.045325000000000,11.001200000000001,-2.044100000000000,2,S01009760,Glasgow City,872.000000000000000,561.000000000000000,736.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,11.000000000000000,0.260000000000000,225.000000000000000,760.000000000000000,0.240000000000000,135.000000000000000,554.000000000000000,190.000000000000000,158.496970978000007,0.000000000000000,121.000000000000000,0.244266055046000,0.100000000000000,131.973992457999998,927.000000000000000,0.695364238400000,4.787878790000000,204.675225656999999,0.180000000000000,0.111111110000000,740.000000000000000,2.279790716550000,1.617546085360000,1.634204923740000,1.491008111030000,2.631592600220000,5.415219627840000,6.383068330080000,5.957318039320000,7.633642257930000,5833.000000000000000,32.048265460000003,367.525980045999972,1885.000000000000000,173.000000000000000,8.000000000000000,0.193729003359000,0.008958566629340,1157.000000000000000,3057.747139109999807,332345.088422000000719,3057.747139106618761,332345.088422000000719,0.051783434981080,0.431258882159000,3,S01009760,5,44129.906734649994178,0.056187942603087,0.509543831873852,0.357526267931855,-0.152017563941997,2,0,S01009760,1,169344.389858999988064,2,0,S01009760,1,118822.099128999994718
1,3,S01009761,Darnley East - 04,Glasgow City,846,558,3135,3,5,9,45,13%,106,2784.000000000000000,8%,45,3348.000000000000000,120,17,50,117,23%,8%,102,2782,75%,5.690000000000000,147,7%,15%,2530,2.500000000000000,2.700000000000000,2.490000000000000,3.780000000000000,5.020000000000000,3.350000000000000,9.420000000000000,8.380000000000001,10.109999999999999,0%,3720,7,83,5459.000000000000000,122,24,13%,3%,1878.000000000000000,2761.244322370000191,373,253500,658500,1,37,11.832400000000000,9.861390000000000,-1.971000000000000,3,S01009761,Glasgow City,884.000000000000000,585.000000000000000,3726.000000000000000,3.000000000000000,6.000000000000000,11.000000000000000,54.000000000000000,0.110000000000000,100.000000000000000,3156.000000000000000,0.080000000000000,45.000000000000000,3800.000000000000000,110.000000000000000,54.254810367099999,30.807795496499999,98.000000000000000,0.194570135747000,0.000000000000000,86.759747911500000,3231.000000000000000,0.819444444400000,5.673913040000000,147.080315496999987,0.070000000000000,0.121693120000000,3162.000000000000000,2.199280163740000,2.380517532690000,2.230373628130000,2.380128913290000,2.640929262090000,4.966471502280000,9.171785690760000,8.300343452570001,10.140321432100000,4116.000000000000000,5.007541478130000,56.646396811400002,6156.000000000000000,122.000000000000000,24.000000000000000,0.134065934066000,0.026373626373600,1878.000000000000000,2761.244322370000191,156078.015080000011949,2761.244322368583653,156078.015080000011949,0.106389916167477,0.026027041367800,4,S01009761,12,83558.427377972999238,0.106389894493734,0.026529845216366,0.011955096365068,-0.014574748851297,3,0,S01009761,1,4140.725581749999947,3,0,S01009761,1,1865.927710749999960
1,4,S01009762,Darnley East - 05,Glasgow City,1183,801,1247,1,2,4,18,25%,299,830.000000000000000,13%,102,1946.000000000000000,165,165,80,121,24%,9%,98,1499,65%,5.330000000000000,219,3%,4%,547,2.620000000000000,0.970000000000000,0.880000000000000,2.060000000000000,4.970000000000000,3.240000000000000,3.150000000000000,2.780000000000000,7.060000000000000,0%,6870,40,340,1904.000000000000000,201,6,22%,1%,870.000000000000000,2295.018992910000179,373,253500,659500,1,24,14.323829999999999,11.909079999999999,-2.414700000000000,4,S01009762,Glasgow City,928.000000000000000,649.000000000000000,611.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,9.000000000000000,0.300000000000000,280.000000000000000,452.000000000000000,0.200000000000000,135.000000000000000,938.000000000000000,200.000000000000000,119.809961072999997,83.636039783100003,161.000000000000000,0.229525862069000,0.134615384615000,127.653498182999996,749.000000000000000,0.702614379100000,4.892857140000000,219.458245132000002,0.140000000000000,0.016853930000000,320.000000000000000,2.659024315870000,1.028778407720000,0.961144706842000,1.050531328740000,2.665107235150000,5.740451101090000,3.197753778480000,2.748863379270000,7.124792092180000,6811.000000000000000,38.057315233799997,410.100379674000010,1619.000000000000000,201.000000000000000,6.000000000000000,0.218241042345000,0.006514657980460,870.000000000000000,2295.018992910000179,150737.851165000000037,2295.018992906067524,150737.851165000000037,0.036779019687188,0.137196882397000,5,S01009762,7,28886.168504042998393,0.036779012194328,0.141344371822564,0.122331086536555,-0.019013285286008,4,0,S01009762,1,21305.946882799999003,4,0,S01009762,1,18439.925115199999709
1,7,S01009765,Darnley North - 02,Glasgow City,996,639,2403,2,4,7,35,16%,160,2062.000000000000000,10%,61,2833.000000000000000,135,255,28,155,24%,7%,136,1432,80%,5.930000000000000,159,2%,18%,3476,1.890000000000000,3.770000000000000,3.880000000000000,2.000000000000000,6.900000000000000,2.610000000000000,11.230000000000000,10.430000000000000,9.890000000000001,0%,3354,13,131,4535.000000000000000,191,17,20%,2%,993.000000000000000,2976.229456449999816,373,253500,659500,1,24,14.323829999999999,11.909079999999999,-2.414700000000000,7,S01009765,Glasgow City,1040.000000000000000,639.000000000000000,2096.000000000000000,2.000000000000000,4.000000000000000,7.000000000000000,31.000000000000000,0.180000000000000,185.000000000000000,1765.000000000000000,0.110000000000000,70.000000000000000,2724.000000000000000,130.000000000000000,339.957938679999984,53.312141651099999,157.000000000000000,0.195192307692000,0.065217391304300,140.230803395999999,1278.000000000000000,0.798099762500000,5.456521740000000,159.346334584999994,0.040000000000000,0.094972070000000,2658.000000000000000,2.086192945530000,3.490297442590000,3.617092737450000,1.398885517940000,2.502175018400000,7.169122324500000,11.055115358300000,10.265750836800001,9.384273683010001,2968.000000000000000,17.025641025599999,163.708086785000006,4118.000000000000000,191.000000000000000,17.000000000000000,0.196907216495000,0.017525773195900,993.000000000000000,2976.229456449999816,352414.640841000014916,2976.229456446992117,352414.640841000014916,0.044908023337423,0.042988311540800,8,S01009765,13,35270.671713092997379,0.044908014188743,0.024752865060523,0.028057009885015,0.003304144824492,5,0,S01009765,1,8723.272050089999539,5,0,S01009765,1,9887.701061699999627
1,9,S01009767,Darnley North - 04,Glasgow City,1099,738,1962,2,3,6,29,14%,159,2348.000000000000000,10%,75,2635.000000000000000,165,120,113,314,25%,3%,102,1183,78%,5.500000000000000,212,2%,17%,2135,1.710000000000000,4.040000000000000,3.130000000000000,2.370000000000000,6.370000000000000,2.610000000000000,12.240000000000000,10.609999999999999,10.369999999999999,1%,2977,82,750,443.000000000000000,89,3,17%,1%,1486.000000000000000,17004.466933299998345,373,251500,659500,1,24,8.773345000000001,7.272700000000000,-1.500600000000000,9,S01009767,Glasgow City,541.000000000000000,335.000000000000000,190.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,0.350000000000000,190.000000000000000,207.000000000000000,0.310000000000000,105.000000000000000,182.000000000000000,280.000000000000000,146.822832070000004,114.216115044000006,266.000000000000000,0.256931608133000,0.000000000000000,146.857765902000011,181.000000000000000,0.752747252700000,4.764705880000000,211.987009359000012,0.360000000000000,0.057142860000000,415.000000000000000,1.649820996860000,3.594787742370000,2.771342011290000,1.702827924870000,2.265644844250000,6.388694726420000,12.013900418700000,10.515228933200000,9.556660726210000,3256.000000000000000,36.054298642500001,666.438052542000037,643.000000000000000,89.000000000000000,3.000000000000000,0.174852652259000,0.005893909626720,1486.000000000000000,17004.466933299998345,3069403.954650000203401,17004.466933297382639,3069403.954650000203401,0.699132762087838,0.077341516248600,10,S01009767,22,571544.360969290370122,0.727712885104404,0.091633894121333,0.066284357806596,-0.025349536314738,6,0,S01009767,1,281261.436996000004001,6,0,S01009767,1,203453.469982999988133
1,10,S01009768,Darnley West - 01,Glasgow City,755,519,1468,2,3,5,22,21%,160,1279.000000000000000,16%,82,1297.000000000000000,170,129,104,137,19%,5%,102,1604,79%,5.380000000000000,179,8%,11%,1909,2.540000000000000,3.070000000000000,2.520000000000000,4.240000000000000,4.270000000000000,3.030000000000000,10.449999999999999,8.230000000000000,9.990000000000000,0%,3631,13,173,3817.000000000000000,137,6,22%,1%,768.000000000000000,3322.618527369999811,373,252500,659500,1,24,10.392234999999999,8.645652999999999,-1.746600000000000,10,S01009768,Glasgow City,668.000000000000000,457.000000000000000,654.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,10.000000000000000,0.280000000000000,190.000000000000000,570.000000000000000,0.220000000000000,100.000000000000000,740.000000000000000,245.000000000000000,206.057130722000011,144.322885594000013,206.000000000000000,0.196107784431000,0.035087719298200,136.485685783999998,434.000000000000000,0.769633507900000,5.181818180000000,179.334894563000006,0.090000000000000,0.018691590000000,1145.000000000000000,2.201362976640000,3.147329329920000,2.342668056390000,2.940967289700000,2.269297752460000,4.504959384620000,10.448540944299999,6.668692599360000,6.026770481710000,4184.000000000000000,25.037707390600001,374.815978901999983,1840.000000000000000,137.000000000000000,6.000000000000000,0.224590163934000,0.009836065573770,768.000000000000000,3322.618527369999811,237265.709811999986414,3322.618527372041626,237265.709811999986414,0.028806753751490,0.744685338037000,11,S01009768,13,22624.766782790804427,0.028806747882871,0.734425398381721,0.735655114252722,0.001229715871000,7,0,S01009768,1,174253.963450999988709,7,0,S01009768,1,174545.732859999989159
1,11,S01009769,Darnley West - 02,Glasgow City,1152,732,4266,4,7,13,62,7%,85,4126.000000000000000,4%,28,5229.000000000000000,90,51,12,238,19%,0%,115,3061,84%,5.770000000000000,90,4%,16%,4159,2.950000000000000,3.700000000000000,3.700000000000000,4.470000000000000,4.570000000000000,3.860000000000000,10.210000000000001,11.230000000000000,9.000000000000000,1%,2097,26,227,3011.000000000000000,77,12,13%,2%,2250.000000000000000,3710.471753509999871,373,252500,659500,1,24,10.392234999999999,8.645652999999999,-1.746600000000000,11,S01009769,Glasgow City,992.000000000000000,645.000000000000000,5140.000000000000000,4.000000000000000,8.000000000000000,15.000000000000000,74.000000000000000,0.050000000000000,50.000000000000000,5111.000000000000000,0.040000000000000,25.000000000000000,5607.000000000000000,25.000000000000000,38.348543354000000,25.486494984099998,282.000000000000000,0.149193548387000,0.023809523809500,91.848397141700005,5240.000000000000000,0.847826087000000,5.142857140000000,90.382811626999995,0.000000000000000,0.152173910000000,4268.000000000000000,2.125988465250000,3.851891814890000,2.835187943690000,2.902234018150000,2.755886558870000,4.977302849670000,10.625496420599999,9.573712811909999,7.940219882190000,2892.000000000000000,38.057315233799997,383.642290662999983,1777.000000000000000,77.000000000000000,12.000000000000000,0.127062706271000,0.019801980198000,2250.000000000000000,3710.471753509999871,336387.453651999996509,3710.471753514159445,336387.453651999996509,0.001221498939190,0.381462538138000,12,S01009769,6,959.362823801519880,0.001221498690297,0.361669382273873,0.362845370675656,0.001175988401783,8,0,S01009769,1,121661.042566999996779,8,0,S01009769,1,122056.630311000000802
1,18,S01009776,Nitshill - 02,Glasgow City,652,409,109,1,1,1,2,40%,261,77.000000000000000,28%,115,137.000000000000000,245,402,264,396,26%,4%,134,176,69%,5.060000000000000,256,8%,10%,482,3.190000000000000,4.200000000000000,1.970000000000000,2.940000000000000,6.000000000000000,3.680000000000000,11.880000000000001,5.550000000000000,12.940000000000000,0%,2939,36,555,810.000000000000000,169,7,26%,1%,519.000000000000000,2349.073542789999919,373,251500,660500,1,24,10.059002000000000,8.192050000000000,-1.867000000000000,18,S01009776,Glasgow City,669.000000000000000,412.000000000000000,182.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,0.350000000000000,235.000000000000000,199.000000000000000,0.300000000000000,125.000000000000000,197.000000000000000,190.000000000000000,532.731087312999989,326.334474086000000,68.000000000000000,0.224215246637000,0.089285714285700,122.368155791999996,758.000000000000000,0.658088235300000,4.318181820000000,255.901861825999987,0.250000000000000,0.015503880000000,28.000000000000000,2.833081832640000,3.744135517360000,1.814177069730000,1.279136909150000,2.001044857640000,5.651054388270000,11.581128429400000,5.415034801430000,4.969145855640000,4724.000000000000000,48.072398190000001,718.570974439999986,556.000000000000000,169.000000000000000,7.000000000000000,0.256449165402000,0.010622154780000,519.000000000000000,2349.073542789999919,224878.322610000002896,2349.073542788819850,224878.322610000002896,0.023466036525453,0.277249743479000,19,S01009776,4,18430.178154985798756,0.023466031744951,0.261750512328317,0.261750512328317,0.000000000000000,11,0,S01009776,1,58862.016154700002517,9,0,S01009776,1,58862.016154700002517
1,19,S01009777,Nitshill - 03,Glasgow City,483,331,422,1,1,2,7,31%,151,331.000000000000000,23%,76,399.000000000000000,180,253,374,190,21%,11%,126,784,72%,5.080000000000000,203,6%,6%,826,3.120000000000000,2.460000000000000,2.190000000000000,2.080000000000000,5.480000000000000,3.690000000000000,8.910000000000000,7.810000000000000,13.160000000000000,0%,4055,25,520,927.000000000000000,115,67,24%,14%,162.000000000000000,2219.725318849999894,373,252500,660500,1,24,11.397035000000001,9.311363999999999,-2.085700000000000,19,S01009777,Glasgow City,542.000000000000000,380.000000000000000,607.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,9.000000000000000,0.260000000000000,140.000000000000000,743.000000000000000,0.240000000000000,90.000000000000000,557.000000000000000,170.000000000000000,276.475454710000008,261.337297904000025,170.000000000000000,0.202952029520000,0.057142857142900,135.957693315999990,807.000000000000000,0.710526315800000,5.076923080000000,202.629851785999989,0.180000000000000,0.072463770000000,833.000000000000000,2.956252702280000,2.392365768150000,2.101270736010000,1.760229361900000,2.150746261930000,4.887404985290000,9.080062139830000,7.795466815040000,7.641026983120000,4674.000000000000000,43.064856711899999,794.554551879999963,452.000000000000000,115.000000000000000,67.000000000000000,0.238589211618000,0.139004149378000,162.000000000000000,2219.725318849999894,130409.199250000005122,2219.725318845931724,130409.199250000005122,0.133921032648298,0.067871406596300,20,S01009777,24,105181.311200162585010,0.133921005366453,0.072450656259589,0.072450656259589,0.000000000000000,12,0,S01009777,1,9448.232067950000783,10,0,S01009777,1,9448.232067950000783
